Task,Start,Duration,Job,Machine
Task 0,0.000000,76.000000,8,0
Task 1,76.000000,13.000000,19,0
Task 2,89.000000,6.000000,14,0
Task 3,95.000000,37.000000,16,0
Task 4,132.000000,29.000000,0,0
Task 5,161.000000,95.000000,15,0
Task 6,256.000000,43.000000,1,0
Task 7,299.000000,86.000000,17,0
Task 8,385.000000,47.000000,5,0
Task 9,432.000000,26.000000,4,0
Task 10,458.000000,11.000000,11,0
Task 11,469.000000,11.000000,18,0
Task 12,480.000000,85.000000,12,0
Task 13,565.000000,11.000000,10,0
Task 14,576.000000,61.000000,6,0
Task 15,637.000000,99.000000,13,0
Task 16,736.000000,64.000000,9,0
Task 17,820.000000,71.000000,3,0
Task 18,891.000000,39.000000,2,0
Task 19,958.000000,32.000000,7,0
Task 20,0.000000,78.000000,10,1
Task 21,78.000000,2.000000,15,1
Task 22,89.000000,7.000000,19,1
Task 23,96.000000,61.000000,14,1
Task 24,157.000000,21.000000,16,1
Task 25,178.000000,9.000000,0,1
Task 26,187.000000,52.000000,5,1
Task 27,239.000000,46.000000,6,1
Task 28,285.000000,22.000000,4,1
Task 29,307.000000,69.000000,18,1
Task 30,376.000000,75.000000,1,1
Task 31,451.000000,91.000000,2,1
Task 32,542.000000,28.000000,11,1
Task 33,570.000000,85.000000,9,1
Task 34,655.000000,10.000000,12,1
Task 35,665.000000,74.000000,17,1
Task 36,739.000000,81.000000,3,1
Task 37,820.000000,52.000000,13,1
Task 38,872.000000,40.000000,8,1
Task 39,912.000000,46.000000,7,1
Task 40,0.000000,14.000000,4,2
Task 41,14.000000,84.000000,5,2
Task 42,98.000000,31.000000,7,2
Task 43,132.000000,13.000000,16,2
Task 44,145.000000,90.000000,11,2
Task 45,235.000000,76.000000,19,2
Task 46,311.000000,49.000000,0,2
Task 47,376.000000,51.000000,18,2
Task 48,427.000000,95.000000,13,2
Task 49,522.000000,49.000000,14,2
Task 50,571.000000,74.000000,12,2
Task 51,655.000000,61.000000,9,2
Task 52,716.000000,32.000000,6,2
Task 53,748.000000,85.000000,8,2
Task 54,833.000000,48.000000,17,2
Task 55,881.000000,25.000000,15,2
Task 56,906.000000,46.000000,1,2
Task 57,952.000000,90.000000,2,2
Task 58,1042.000000,85.000000,3,2
Task 59,1127.000000,21.000000,10,2
Task 60,76.000000,76.000000,8,3
Task 61,152.000000,36.000000,10,3
Task 62,188.000000,89.000000,16,3
Task 63,277.000000,72.000000,15,3
Task 64,349.000000,52.000000,19,3
Task 65,401.000000,62.000000,0,3
Task 66,463.000000,21.000000,4,3
Task 67,484.000000,89.000000,18,3
Task 68,573.000000,69.000000,1,3
Task 69,642.000000,46.000000,11,3
Task 70,688.000000,89.000000,12,3
Task 71,777.000000,32.000000,6,3
Task 72,809.000000,47.000000,9,3
Task 73,856.000000,53.000000,14,3
Task 74,909.000000,98.000000,13,3
Task 75,1007.000000,19.000000,7,3
Task 76,1026.000000,79.000000,17,3
Task 77,1105.000000,45.000000,2,3
Task 78,1150.000000,22.000000,3,3
Task 79,1172.000000,6.000000,5,3
Task 80,157.000000,69.000000,14,4
Task 81,239.000000,48.000000,5,4
Task 82,287.000000,55.000000,16,4
Task 83,349.000000,65.000000,15,4
Task 84,414.000000,45.000000,19,4
Task 85,463.000000,44.000000,0,4
Task 86,507.000000,72.000000,4,4
Task 87,579.000000,74.000000,18,4
Task 88,653.000000,56.000000,10,4
Task 89,709.000000,30.000000,11,4
Task 90,739.000000,88.000000,17,4
Task 91,827.000000,30.000000,6,4
Task 92,857.000000,90.000000,9,4
Task 93,947.000000,9.000000,3,4
Task 94,956.000000,26.000000,8,4
Task 95,982.000000,72.000000,1,4
Task 96,1054.000000,12.000000,2,4
Task 97,1066.000000,33.000000,12,4
Task 98,1099.000000,36.000000,7,4
Task 99,1135.000000,43.000000,13,4
